id,name,orig_name
213,KOMILI SHAMPOO FOR NORMAL HAIR,KOMILI SHAMPOO FOR NORMAL HAIR
214,HYLEYS WEIGHT LOSS KIT 14 DAYS,HYLEYS WEIGHT LOSS KIT 14 DAYS
215,DETTOL ORIGINAL LIQUID HAND WASH,DETTOL ORIGINAL LIQUID HAND WASH
216,JABSONS ROASTED BAJRA MASALA,JABSONS ROASTED BAJRA MASALA
217,HYLEYS POMEGRANATE TEA,HYLEYS POMEGRANATE TEA
218,BLUEBERRIES,BLUEBERRIES
219,AHMED CHICKEN BIRYANI MASALA,AHMED CHICKEN BIRYANI MASALA
220,CREAM O LAND HALF   HALF,CREAM O LAND HALF   HALF
221,CASTELLA OLIVE MEDLEY MEDITERRANEAN,CASTELLA OLIVE MEDLEY MEDITERRANEAN
222,HALDIRAMS RASMALAI,HALDIRAMS RASMALAI
223,AHMED CHICKEN JALFREZI MASALA,AHMED CHICKEN JALFREZI MASALA
224,BERRAK ACI BIBER TURSUSU,BERRAK ACI BIBER TURSUSU
225,HELLMANNS REAL MAYONNAISE,HELLMANNS REAL MAYONNAISE
226,BLACK PEPPR WHOLE,BLACK PEPPR WHOLE
227,CENTO WHITE CLAM SAUCE,CENTO WHITE CLAM SAUCE
228,GOANA FOODS PRAWN BALCHAO PICKLE,GOANA FOODS PRAWN BALCHAO PICKLE
229,24 MANTRA ORG BAJRA FLOUR,24 MANTRA ORG BAJRA FLOUR
230,GRB BUTTERSCOTCH SOAN PAPDI,GRB BUTTERSCOTCH SOAN PAPDI
231,KOHINOOR BASMATI GOLD,KOHINOOR BASMATI GOLD
232,ALLEGRO PURE SUNFLOWER OIL,ALLEGRO PURE SUNFLOWER OIL
233,IMREN SAFFRON N MIXED NUT,IMREN SAFFRON N MIXED NUT
234,DEER HALEEM MIX,DEER HALEEM MIX
235,CHINGS DARK SOY SAUCE,CHINGS DARK SOY SAUCE
236,BHAKTI LOBAN DHOOP,BHAKTI LOBAN DHOOP
237,BHAVANI HIMALAYAN PINK SALT,BHAVANI HIMALAYAN PINK SALT
238,CHAPLI KABAB F.PK,CHAPLI KABAB F.PK
239,BHAVANI MACE,BHAVANI MACE
240,JASHAN ATTA BISCUIT,JASHAN ATTA BISCUIT
241,GALIL COLD N FLU TEA,GALIL COLD N FLU TEA
242,GRANDMAS TENDER MANGO PICKLE,GRANDMAS TENDER MANGO PICKLE
243,JASHAN PEANUT LADOO,JASHAN PEANUT LADOO
244,HERBI HERBAL HENNA,HERBI HERBAL HENNA
245,HIMALYA MILK CAKE,HIMALYA MILK CAKE
246,AACHI MUGHAL BIRYANI,AACHI MUGHAL BIRYANI
247,HAWKINS CLASSIC,HAWKINS CLASSIC
248,TIMUR CHHOP,TIMUR CHHOP
249,ANAND ANDHRA MIXTURE,ANAND ANDHRA MIXTURE
250,ANAND MADURAI MIXTURE,ANAND MADURAI MIXTURE
251,GANDOM EGGPLANT PICKLE,GANDOM EGGPLANT PICKLE
252,HAMDARD SAFI,HAMDARD SAFI
253,EASTERN IDIYAPPAM PODI,EASTERN IDIYAPPAM PODI
254,GITS PUNJABI CHHOLE,GITS PUNJABI CHHOLE
255,A1 FALUDA VERMICELLI,A1 FALUDA VERMICELLI
256,AS SALAAM CHICKEN SHAMI KABAB,AS SALAAM CHICKEN SHAMI KABAB
257,GARLIC,GARLIC
258,ELITE RICE PUTTUPODI,ELITE RICE PUTTUPODI
259,ANANAD BHOG BADAM PISTA DELIGHT,ANANAD BHOG BADAM PISTA DELIGHT
260,GALIL SUNDRIED APRICOTS,GALIL SUNDRIED APRICOTS
261,AHMED BANANA CUSTARD POWDER,AHMED BANANA CUSTARD POWDER
262,HALDIRAMS TANDOORI NAAN,HALDIRAMS TANDOORI NAAN
263,CHAKRA ROSE INCENSE STICKS,CHAKRA ROSE INCENSE STICKS
264,DEEP SOOJI COARSE,DEEP SOOJI COARSE
265,ARNOLD WHOLE GRAIN W WHEAT BREAD,ARNOLD WHOLE GRAIN W WHEAT BREAD
266,LILY INCENSE STICKS,LILY INCENSE STICKS
267,DEER BASIL DRINK APPLE,DEER BASIL DRINK APPLE
268,GALIL CAMOMILE MINT TEA,GALIL CAMOMILE MINT TEA
269,DEEP SPROUTED MOONG,DEEP SPROUTED MOONG
270,CHEETOS PUFFS,CHEETOS PUFFS
271,CORNFLAKES MIXTURE,CORNFLAKES MIXTURE
272,DETTOL,DETTOL
273,GAIN DRYER SHEETS,GAIN DRYER SHEETS
274,CREAM O LAND SOUR CREAM,CREAM O LAND SOUR CREAM
275,HEMANI FENUGREEK OIL,HEMANI FENUGREEK OIL
